age,numed
43,13
22,9
28,9
56,10
22,12
57,13
39,9
26,10
17,7
40,11
45,9
44,9
20,10
33,9
23,10
46,14
38,9
54,9
46,3
25,10
46,10
36,10
23,9
29,9
44,10
19,10
19,9
35,9
27,13
46,12
34,13
34,9
44,10
45,10
20,9
25,13
52,13
20,10
28,10
50,13
34,11
28,4
41,14
28,9
46,9
28,10
32,10
41,10
24,9
33,10
46,16
31,10
35,8
52,2
30,7
34,7
34,9
20,10
17,7
32,13
29,9
33,6
25,9
36,14
23,9
63,9
47,14
80,9
17,7
40,13
30,12
27,10
33,14
34,9
34,10
23,10
42,10
29,13
45,9
24,9
44,10
27,5
20,10
44,9
51,9
20,9
17,7
19,9
45,10
60,9
42,12
44,9
40,11
30,9
38,10
23,9
32,10
44,12
54,9
32,13
50,2
24,13
37,9
52,9
38,10
49,14
30,13
60,10
22,10
35,9
30,9
67,11
46,13
17,5
22,10
27,6
23,9
33,12
43,10
28,13
41,9
52,8
25,10
63,2
59,9
45,13
38,13
40,9
46,9
35,12
34,9
33,13
41,9
20,10
23,3
26,10
72,9
23,9
62,9
52,10
58,10
25,13
24,13
19,10
43,10
47,9
39,9
49,11
53,3
32,11
34,10
28,9
57,11
25,10
20,10
21,10
34,13
38,13
50,9
24,10
37,10
44,10
28,10
42,13
74,10
38,9
44,14
44,7
26,9
36,9
41,12
67,15
39,8
57,2
29,11
31,13
34,9
44,10
29,16
30,10
27,9
27,10
32,9
58,6
35,10
21,9
28,10
46,10
36,9
72,7
35,9
33,11
69,7
35,9
31,9
34,9
30,7
28,13
54,13
47,10
24,9
52,13
20,9
43,14
45,4
29,9
47,14
24,9
51,9
17,7
37,11
27,16
29,13
18,8
36,12
58,13
26,10
65,10
57,9
59,9
27,9
31,13
21,10
29,10
18,7
52,6
57,13
42,9
55,9
60,4
31,13
23,13
27,9
23,10
42,15
25,10
49,13
32,13
19,10
60,4
42,5
35,12
48,9
51,14
29,9
36,9
17,6
52,14
24,9
24,9
26,13
27,13
39,9
30,9
50,9
52,13
46,15
23,13
45,7
65,5
29,11
47,5
30,9
34,9
38,9
33,10
49,13
47,10
49,6
43,10
30,13
58,9
19,9
21,13
33,13
47,3
52,16
26,9
60,9
21,10
36,10
31,10
50,16
31,9
71,9
58,9
30,13
20,10
24,9
35,16
38,10
27,9
29,10
70,5
34,9
44,4
43,9
44,8
35,14
27,10
43,14
20,10
42,12
27,10
42,9
20,7
24,5
48,10
17,7
17,7
33,13
50,9
22,9
17,8
32,10
31,9
58,9
29,9
37,11
34,9
23,10
18,7
34,9
66,4
45,13
41,14
26,9
54,10
24,10
42,10
20,10
23,13
25,12
35,14
31,14
30,13
19,9
36,13
31,13
21,10
31,10
46,16
44,13
40,8
45,10
60,9
18,7
28,13
36,10
36,13
40,11
36,13
31,9
33,9
19,9
22,10
34,13
33,9
41,9
29,13
50,9
42,13
43,13
44,9
20,10
31,9
65,7
23,10
55,10
26,11
25,11
45,10
35,10
36,10
43,13
56,9
42,13
19,10
55,9
42,14
26,11
17,8
42,13
55,9
32,10
29,7
46,13
29,13
22,13
58,6
23,9
39,9
27,11
54,9
33,13
46,9
37,9
36,9
59,9
34,9
53,16
51,13
32,6
31,10
22,10
47,13
32,9
26,10
37,3
31,9
37,11
55,9
23,11
36,10
34,14
43,13
54,10
43,10
28,11
40,11
41,10
40,13
42,10
61,9
18,8
59,9
21,9
48,11
41,13
18,10
23,9
60,9
22,10
61,9
25,9
46,14
43,13
43,12
24,9
68,7
31,9
17,7
32,9
50,14
33,13
64,13
20,9
30,9
22,10
43,10
22,10
17,6
47,9
41,11
56,10
64,9
47,9
48,11
31,14
29,11
30,9
32,9
57,9
62,9
39,9
43,10
24,13
42,7
53,10
26,10
73,9
72,7
55,9
25,9
41,13
24,13
63,9
17,7
35,10
51,10
62,13
55,9
43,10
40,9
37,13
39,13
31,9
61,14
26,11
46,9
26,13
48,16
34,9
34,9
59,9
34,13
49,13
18,7
43,9
48,7
28,10
33,9
24,10
21,6
17,7
39,10
29,13
44,13
24,10
71,14
51,13
55,3
41,13
23,9
38,11
39,9
19,9
49,5
32,13
27,9
38,13
33,10
63,10
23,13
33,10
54,9
29,11
48,10
35,13
28,11
37,13
42,15
40,14
47,10
22,13
30,13
28,9
63,4
51,5
22,9
27,12
35,9
46,9
37,10
24,13
37,9
53,10
27,9
38,10
53,6
34,10
23,9
39,13
43,14
67,9
81,9
21,10
23,10
25,10
42,3
38,10
64,9
32,9
37,9
51,14
22,10
33,2
42,9
19,10
51,1
23,9
37,7
37,9
47,14
41,15
33,9
31,13
31,12
35,9
38,9
18,9
20,9
54,10
40,10
36,13
43,10
44,10
44,9
43,14
51,4
18,9
51,10
41,6
44,10
33,6
33,13
42,12
25,10
32,9
32,13
36,6
28,9
20,9
35,10
55,9
48,13
36,11
34,9
28,13
67,13
37,9
44,9
25,10
21,10
40,14
78,9
34,9
49,9
22,12
23,9
60,9
45,9
63,11
41,9
47,9
44,9
51,10
46,13
41,11
50,9
47,9
35,9
56,9
45,14
48,13
40,10
39,13
20,10
50,16
38,9
23,13
31,9
58,13
66,9
39,9
54,9
26,10
51,9
34,11
50,9
42,10
38,14
48,4
33,11
51,9
22,9
19,9
41,10
48,14
42,9
34,10
23,9
56,9
30,13
45,9
48,6
48,14
31,11
20,12
27,10
32,9
76,4
19,9
66,5
37,9
34,9
34,7
90,9
23,10
43,10
44,13
24,10
28,15
64,12
23,10
20,10
36,13
61,9
53,13
30,13
52,10
38,10
32,13
30,8
41,11
49,14
45,9
43,9
61,9
54,9
34,12
49,10
38,10
35,15
36,8
30,13
36,12
22,13
38,9
37,9
48,16
17,7
19,10
27,13
22,13
49,9
43,11
43,13
19,9
58,9
41,10
31,10
30,11
32,9
29,13
42,10
38,9
41,12
44,13
31,16
34,9
21,10
22,13
62,6
19,9
29,9
43,10
68,4
45,13
39,5
41,13
34,12
34,9
31,13
29,9
41,13
41,11
35,14
33,13
37,13
69,9
34,9
60,11
36,10
41,9
58,13
53,13
29,10
45,9
34,10
36,13
48,10
20,11
35,9
63,9
41,10
28,13
30,10
34,9
31,9
37,11
42,10
31,10
46,14
35,9
27,9
41,2
19,10
20,10
59,9
40,13
56,10
33,14
30,10
46,9
61,9
50,9
25,9
40,10
24,10
51,9
43,9
34,10
46,9
28,14
26,13
20,9
44,11
51,9
33,13
54,12
50,13
33,9
65,13
22,10
88,15
40,9
51,9
50,7
25,14
20,11
47,9
58,10
22,11
50,9
47,9
24,7
50,9
40,13
36,13
32,9
44,9
51,14
59,10
65,9
24,13
27,13
51,11
48,10
39,9
28,13
19,10
49,13
51,12
59,14
18,9
50,9
45,9
30,13
37,13
44,13
33,10
61,14
61,9
38,13
22,10
36,9
44,10
37,10
31,10
54,16
20,10
63,13
48,10
33,9
31,13
38,15
45,9
48,9
53,10
55,9
38,14
29,9
36,13
42,10
50,9
75,15
46,13
52,9
27,13
43,9
31,7
23,10
34,9
41,9
31,9
42,10
35,14
55,9
36,9
65,9
38,10
62,10
54,15
49,9
34,9
32,9
51,14
48,10
30,9
52,9
28,10
29,9
38,13
57,9
43,13
37,10
30,9
53,9
69,11
73,9
22,10
31,9
38,13
50,10
37,10
44,13
47,13
27,10
28,12
25,9
20,10
51,13
46,13
67,13
47,9
42,9
52,9
42,12
65,9
21,10
50,9
46,10
47,13
57,6
37,13
50,9
58,8
63,2
39,9
46,14
36,9
26,3
21,10
41,12
44,10
22,9
29,10
29,9
58,10
36,15
30,11
37,13
29,11
26,3
43,9
49,9
45,13
28,13
20,10
51,9
32,10
24,9
35,16
35,12
41,13
48,13
61,9
20,10
27,9
55,10
39,9
17,6
47,9
52,9
24,9
29,7
25,9
20,10
23,9
57,15
51,11
33,10
39,13
40,9
71,13
38,10
28,15
57,14
47,10
59,9
26,9
35,13
61,13
17,7
36,13
62,4
34,10
32,13
42,9
39,10
58,3
61,9
40,6
31,13
36,9
23,10
33,9
52,9
22,9
51,10
31,11
49,9
49,9
53,10
52,9
20,6
26,12
61,9
43,14
46,13
43,11
41,9
44,9
54,9
65,14
32,13
25,10
23,13
25,13
19,10
37,9
45,10
37,9
40,10
19,10
17,7
27,13
40,4
59,9
19,9
43,6
42,6
54,9
54,14
51,6
50,9
40,9
55,12
50,9
31,9
42,9
24,9
30,7
39,12
37,9
33,9
48,9
43,9
39,13
53,10
52,6
28,10
32,9
31,13
31,13
47,10
19,10
40,11
40,12
41,7
53,9
46,7
45,13
39,5
19,9
57,9
49,11
59,9
32,11
18,10
35,10
58,6
28,13
36,12
41,14
47,9
50,9
61,9
36,9
38,11
56,9
50,11
45,10
44,9
51,10
44,10
25,9
60,7
17,6
49,14
46,9
56,9
25,9
22,10
76,9
41,15
48,9
46,6
30,10
39,9
40,6
70,9
35,10
49,14
24,11
40,12
61,15
25,13
28,13
69,14
22,10
47,9
38,9
26,11
17,7
33,10
43,9
58,11
53,9
26,9
43,13
31,6
30,9
25,9
57,9
37,14
32,10
26,9
45,9
53,9
27,9
28,7
32,7
35,13
36,10
19,10
37,13
49,10
20,10
64,13
60,14
32,12
58,9
42,9
20,10
42,10
25,10
30,11
37,13
66,11
59,13
44,13
46,9
59,13
25,13
17,5
47,13
47,5
30,10
20,10
26,13
20,10
33,9
48,9
52,13
37,9
47,9
40,6
48,14
49,6
50,10
30,12
34,10
43,9
22,6
35,9
26,9
62,15
39,9
59,10
69,3
27,13
17,6
38,13
41,10
27,6
23,9
17,6
56,4
24,10
62,16
44,8
23,13
41,9
25,9
21,10
18,8
45,10
75,13
51,4
42,9
47,10
29,10
33,7
43,13
20,10
19,13
44,12
24,10
19,10
49,6
52,11
38,9
24,10
32,13
72,9
26,9
31,13
29,13
39,9
48,9
40,10
51,10
28,9
22,9
23,13
65,10
26,13
20,10
55,14
38,13
33,9
33,9
37,13
19,7
24,13
30,7
57,9
22,10
57,9
46,9
67,9
35,9
47,9
39,6
50,10
58,8
36,12
45,14
54,9
26,13
60,9
46,15
26,10
32,7
38,9
48,10
44,9
37,9
44,10
31,9
61,15
51,9
52,13
45,9
36,12
39,7
67,9
40,12
27,3
37,2
57,10
27,6
28,9
34,13
54,9
52,9
42,13
48,14
65,14
55,15
71,9
33,10
30,9
35,13
59,6
19,10
36,5
26,9
34,9
41,9
44,13
26,9
47,9
18,10
55,6
49,9
44,13
43,13
62,4
44,9
39,9
50,10
35,7
52,9
46,15
44,12
43,10
51,4
20,10
47,12
43,14
64,9
24,10
27,10
32,9
37,9
26,9
43,13
50,9
20,9
37,9
43,9
37,9
53,5
44,16
25,9
17,7
19,9
53,9
44,10
51,9
49,9
35,10
44,9
54,14
37,10
18,10
24,10
29,9
22,10
35,9
56,9
32,4
24,13
43,14
73,9
47,10
49,8
38,13
31,9
39,10
42,13
41,14
35,13
38,9
31,9
51,9
38,13
40,10
21,9
44,10
55,9
29,9
49,14
31,11
24,14
46,10
26,9
35,13
27,11
64,13
26,13
21,9
45,13
57,9
30,13
45,7
50,4
38,13
43,10
42,10
32,13
20,9
27,9
45,7
40,9
38,9
37,9
60,6
53,9
25,13
47,13
40,9
51,9
19,10
42,10
65,9
41,13
28,6
46,14
49,13
24,9
32,7
71,9
26,10
29,9
50,10
51,11
17,6
49,9
31,6
23,7
59,9
17,6
43,10
38,13
37,9
29,6
39,13
31,12
42,13
35,14
39,14
40,12
66,3
30,5
43,12
47,5
45,14
31,10
33,9
32,13
28,12
50,9
63,4
28,13
38,10
52,9
38,15
41,9
50,14
59,7
32,9
73,4
52,9
57,9
35,11
51,13
22,7
49,9
22,9
46,9
48,9
52,9
43,13
25,4
31,4
19,10
19,10
51,9
51,13
22,9
37,9
19,10
45,9
21,10
52,9
46,10
42,14
56,9
23,9
58,14
70,9
30,10
45,13
23,10
34,10
38,13
24,11
53,4
45,9
21,10
21,10
34,13
32,9
21,9
63,14
23,5
28,13
29,9
25,13
44,14
18,9
26,9
47,12
23,9
46,10
61,13
25,9
38,9
60,13
23,10
36,9
46,5
32,13
40,6
31,9
31,10
32,13
21,10
63,10
44,10
42,13
23,13
30,10
24,9
42,13
44,9
27,13
27,10
22,9
68,9
55,10
22,9
25,10
68,9
62,10
26,9
34,14
68,10
42,13
45,13
26,7
25,9
23,13
29,10
65,4
31,9
26,9
39,10
44,9
45,14
26,14
26,6
36,5
38,7
39,9
52,15
39,2
41,10
42,14
47,13
28,11
25,13
35,13
32,9
38,14
44,10
21,10
27,13
30,13
30,13
45,9
20,9
57,14
43,10
50,7
28,4
25,9
25,9
90,13
38,13
35,13
50,13
26,9
39,10
56,6
24,9
46,9
18,7
37,14
57,14
43,9
29,13
40,14
44,13
77,9
30,13
21,9
66,6
40,7
68,9
64,9
26,13
32,10
32,9
51,14
50,14
49,13
28,13
29,9
21,10
28,9
55,6
45,9
35,10
31,7
26,14
30,9
33,9
40,13
23,13
35,10
48,7
39,6
53,15
49,9
31,13
36,9
60,10
29,9
54,10
28,12
34,9
30,10
19,9
26,9
47,10
50,9
30,13
44,10
49,9
75,14
37,13
51,9
35,9
28,10
66,9
72,5
39,13
27,9
57,10
24,4
28,9
23,10
31,13
23,10
31,10
27,13
30,13
31,15
34,14
57,9
39,14
23,7
24,12
36,16
32,10
35,12
36,13
23,13
47,11
35,9
44,10
32,14
32,12
63,10
34,11
47,9
27,7
23,9
19,10
50,6
49,10
36,10
23,13
61,4
41,10
27,13
53,13
17,6
23,9
53,10
28,9
24,13
22,10
53,13
18,7
24,10
20,9
30,4
37,11
34,9
19,9
20,8
47,9
20,10
22,13
42,14
60,10
32,9
46,9
66,9
37,13
34,10
45,13
35,7
63,9
51,10
36,10
25,9
51,9
25,10
19,9
47,10
59,9
34,13
40,10
42,9
28,9
37,14
51,12
25,9
31,9
37,9
42,12
29,13
35,10
51,13
22,10
49,10
26,13
56,9
52,10
61,14
47,13
52,11
30,9
43,10
35,10
17,8
42,9
26,10
58,9
66,10
30,9
46,10
45,10
57,9
25,13
21,10
37,9
45,14
61,16
39,9
42,9
20,9
23,9
25,13
47,3
24,9
20,10
35,9
44,9
47,10
28,7
41,14
31,9
27,14
47,11
44,9
61,10
42,10
46,9
46,13
54,14
49,9
56,10
52,14
34,9
25,9
18,7
58,9
31,13
29,10
28,7
30,10
21,10
44,14
75,6
66,7
26,10
33,13
57,14
47,3
41,9
21,10
17,7
61,13
47,9
22,10
47,9
45,13
32,11
59,6
38,9
33,9
41,9
51,5
42,9
27,13
60,10
64,9
37,12
54,13
36,12
34,13
41,14
35,4
63,14
46,9
47,14
24,13
29,10
74,10
50,7
22,10
48,8
30,5
32,13
39,9
49,10
25,13
50,13
44,9
65,11
28,12
55,13
49,13
31,9
47,9
45,9
35,9
34,13
49,9
39,10
27,9
42,9
60,3
64,9
33,10
23,10
45,14
34,9
53,9
22,6
57,9
20,10
23,4
31,7
23,13
30,9
32,13
42,12
51,4
59,13
36,13
45,9
35,11
33,4
43,11
60,9
37,13
35,10
36,10
38,15
54,4
51,11
45,12
63,10
51,10
58,14
64,9
20,10
44,13
39,13
45,10
44,16
22,10
63,9
26,11
42,13
20,9
29,14
38,13
25,9
27,13
46,11
31,10
24,11
43,10
23,8
32,9
44,9
40,13
38,9
23,11
19,10
41,10
48,9
23,10
47,12
42,9
17,6
29,15
21,10
18,7
31,9
27,13
29,16
23,13
41,14
46,13
34,10
42,9
18,9
46,9
18,7
52,10
56,9
21,11
22,9
31,13
41,9
25,10
43,13
45,9
26,10
90,10
45,13
30,13
42,10
20,10
53,13
64,9
56,4
42,10
26,13
31,12
40,13
58,10
41,13
58,9
62,14
65,13
40,10
45,10
22,9
23,10
63,14
39,13
37,10
25,13
56,7
32,10
53,10
32,11
23,7
35,7
51,10
19,10
41,7
22,6
23,9
36,14
27,10
45,11
23,9
21,7
44,14
29,13
36,11
18,5
62,8
25,10
34,12
31,13
37,13
33,13
22,10
28,12
22,10
47,9
67,7
20,6
34,13
26,15
36,10
28,9
22,9
47,10
33,11
34,14
25,9
37,5
36,9
61,13
74,5
57,10
55,16
20,9
43,9
54,9
25,10
42,10
23,10
17,7
39,9
63,4
19,10
56,13
33,13
37,13
27,4
36,13
30,9
22,13
35,10
20,9
18,10
25,8
53,14
21,10
19,9
34,9
32,10
20,10
70,4
57,13
54,10
34,11
48,10
42,7
45,9
27,10
51,6
36,10
33,10
50,10
44,13
39,14
55,5
24,10
35,9
32,8
66,13
68,9
29,7
24,13
61,5
34,9
55,15
20,10
41,9
36,9
60,9
61,9
35,15
42,13
26,13
44,10
31,14
39,9
20,10
32,10
32,9
61,5
54,10
23,12
19,9
31,10
35,3
29,9
29,9
25,6
46,13
35,11
20,6
24,9
48,9
37,9
60,9
39,9
29,10
31,11
38,11
26,12
64,13
46,11
69,9
39,9
48,9
46,9
42,13
39,9
50,14
24,13
30,11
39,13
29,9
23,7
21,11
32,6
69,13
55,9
41,10
44,13
18,7
74,13
40,16
27,9
75,5
55,9
52,4
54,10
36,9
76,10
26,9
18,7
38,9
50,13
19,10
32,10
57,13
20,9
27,10
31,13
60,3
52,9
61,4
57,9
19,10
59,15
34,9
31,12
42,9
70,10
47,13
47,9
29,10
27,7
25,8
51,13
28,9
35,13
36,10
54,14
46,11
52,11
65,4
43,11
41,9
34,13
47,13
49,14
21,10
20,10
18,8
27,10
34,9
38,10
24,9
34,10
47,9
27,9
63,11
34,10
25,10
54,9
19,10
35,9
24,10
26,10
59,11
43,16
20,10
41,9
51,10
27,9
36,9
25,10
55,13
22,10
58,16
43,10
39,11
40,5
46,9
54,9
19,10
24,9
53,9
24,14
29,9
56,10
54,9
21,10
34,5
56,7
34,13
19,6
32,9
48,9
67,14
47,9
52,9
40,2
28,6
41,13
57,2
51,9
26,7
36,13
33,10
46,13
50,9
33,10
77,9
39,14
67,9
35,12
23,6
37,11
41,9
60,12
32,13
56,9
45,11
24,9
18,6
31,9
21,10
45,13
23,10
45,10
18,7
25,9
31,9
19,9
41,13
74,15
27,3
23,9
31,11
40,9
41,9
25,14
42,9
24,13
42,12
45,6
52,9
34,11
32,9
54,9
42,7
32,13
40,10
55,13
66,7
52,14
21,10
33,13
52,11
28,3
27,7
42,13
27,10
47,11
19,9
46,10
55,9
50,4
32,10
28,9
23,9
43,14
34,13
19,10
37,10
27,13
18,9
31,10
49,9
26,15
48,9
39,9
41,9
48,11
40,13
70,13
20,9
38,3
37,10
49,10
51,9
43,2
38,15
18,7
23,4
34,9
62,10
33,10
31,10
64,10
26,13
55,10
61,13
37,9
78,13
27,10
49,9
55,14
42,13
22,9
61,5
64,13
46,9
24,13
27,10
47,9
18,10
48,9
50,9
40,14
56,6
34,9
56,13
18,7
21,10
40,9
27,9
52,15
46,9
23,9
50,10
19,10
20,9
39,10
24,7
72,11
42,14
42,13
51,13
39,9
40,10
34,10
19,7
26,9
45,13
28,14
30,13
32,9
19,10
21,9
54,9
62,15
25,10
49,10
32,9
26,10
37,9
58,9
37,10
41,9
38,13
47,9
42,9
30,9
43,10
34,9
57,10
46,7
32,10
20,5
47,11
55,9
53,4
43,13
80,4
24,10
43,14
22,9
40,10
48,9
56,9
34,7
51,9
24,9
19,9
34,10
24,9
41,13
24,9
22,10
32,10
41,13
20,10
31,9
55,13
49,16
26,13
27,9
35,9
40,9
59,10
61,10
31,9
43,14
61,3
54,12
30,10
20,10
27,14
44,10
64,10
55,9
34,9
61,9
28,13
34,9
47,15
26,13
35,7
36,13
47,13
17,7
35,10
33,14
25,12
18,6
47,14
44,9
41,9
30,13
53,10
53,9
40,9
24,10
27,13
50,3
36,7
41,2
41,14
31,9
32,13
22,10
22,6
18,8
39,13
38,9
35,9
23,10
54,13
36,14
63,9
39,10
57,10
58,15
29,13
17,7
40,9
69,10
28,6
38,5
44,15
45,15
33,13
41,10
37,9
50,10
48,13
26,9
36,10
21,10
37,12
20,10
54,9
28,9
27,10
33,11
46,9
28,7
17,6
40,15
47,14
44,2
25,8
35,13
29,10
30,9
30,10
56,4
25,13
28,9
43,5
47,9
46,13
41,14
38,12
29,9
25,3
56,7
31,4
22,7
31,9
28,10
53,13
45,14
71,1
65,9
39,9
19,9
34,13
36,9
40,9
90,10
56,15
21,9
48,13
45,10
46,9
64,6
29,14
22,9
47,9
67,13
43,9
42,10
31,10
53,7
81,5
33,9
17,8
55,15
28,9
24,10
40,9
30,14
24,7
26,14
38,10
30,9
33,13
40,9
63,9
23,4
56,9
42,11
40,9
49,12
35,9
52,9
28,13
35,6
21,10
43,9
32,11
29,15
23,13
50,10
34,10
19,9
47,7
37,10
25,9
75,10
24,9
28,13
17,7
31,9
31,1
18,9
45,13
31,9
27,13
48,10
22,9
34,13
26,9
53,10
60,13
49,14
40,10
48,6
23,13
68,4
42,11
37,9
27,9
38,10
27,9
75,9
49,13
27,10
36,13
36,13
35,9
36,9
53,7
27,10
34,9
61,10
29,9
40,10
37,14
22,5
43,10
55,9
28,10
23,13
64,7
46,10
29,10
44,14
20,10
62,10
49,11
29,6
35,13
39,7
39,13
37,9
38,9
72,9
31,4
55,4
38,10
33,10
25,12
19,10
37,11
49,10
26,9
35,9
44,9
37,14
42,13
64,16
28,9
35,9
40,13
55,13
21,9
49,10
51,16
57,15
51,13
38,6
24,9
45,9
28,9
42,15
22,10
28,14
60,9
31,9
47,10
40,9
30,9
61,14
71,13
42,9
44,8
46,10
50,15
27,13
40,11
21,10
25,9
61,3
54,10
31,13
53,10
39,12
57,15
48,13
30,10
35,9
42,9
34,9
59,9
69,6
29,10
40,9
21,10
40,12
43,10
36,9
41,9
72,9
20,10
41,13
34,10
48,7
27,9
35,10
28,9
27,9
20,10
18,10
32,13
38,14
23,10
28,13
40,15
35,9
74,10
28,9
23,10
20,10
44,9
46,9
20,10
51,13
40,10
48,15
60,5
48,13
46,13
48,13
22,9
24,13
45,10
18,8
39,9
65,9
22,10
20,10
28,10
46,15
42,13
61,16
28,10
18,10
24,13
45,16
24,9
44,13
20,10
35,10
52,13
25,12
19,3
35,13
54,10
21,10
26,9
42,11
19,10
55,14
44,9
25,13
26,10
64,12
41,7
25,10
43,10
45,9
48,13
60,9
45,10
51,6
37,9
22,10
44,9
27,9
47,9
32,14
40,13
41,9
32,6
26,13
47,10
55,9
38,9
24,13
64,16
56,13
41,9
33,9
33,15
21,10
59,9
58,11
43,14
21,9
45,9
53,9
41,15
27,6
53,10
38,14
31,13
41,9
22,10
43,14
41,10
27,10
41,10
36,15
49,13
20,9
58,9
35,8
30,9
21,9
29,12
40,9
54,13
35,13
35,13
40,13
59,9
43,10
39,6
51,4
71,10
33,8
28,9
30,9
20,3
51,9
39,9
62,10
37,9
28,5
23,9
39,13
50,13
31,4
45,13
23,13
47,6
59,9
32,12
82,4
49,13
74,9
22,10
32,10
34,13
59,13
36,13
59,7
47,13
53,9
25,10
44,13
57,15
42,13
58,6
39,13
32,9
45,4
47,13
52,10
56,2
52,9
34,9
36,4
41,9
30,10
44,13
17,10
34,10
41,10
29,9
25,5
42,13
48,10
26,11
64,9
46,13
38,13
49,7
23,10
46,13
30,9
49,9
47,11
44,13
31,9
19,9
45,12
34,13
26,9
38,9
31,10
36,12
31,13
30,13
37,9
30,13
21,9
73,6
38,14
30,6
33,9
52,13
58,10
34,14
35,9
59,9
45,13
27,10
31,16
45,10
40,9
27,15
19,9
29,3
34,10
32,12
49,7
33,7
74,4
62,13
39,9
43,9
22,10
24,9
76,9
25,10
19,10
31,12
53,7
61,9
47,13
37,9
50,13
27,10
58,9
43,9
39,12
36,10
56,13
26,9
23,13
47,7
68,8
47,10
45,10
26,10
20,9
46,10
37,12
37,10
43,10
59,14
39,9
32,10
63,10
45,13
59,13
36,8
26,9
34,9
41,9
26,9
53,9
33,9
46,13
79,9
31,9
24,9
57,9
40,9
41,11
20,10
45,7
27,11
36,3
30,9
36,13
25,9
30,10
31,9
49,9
26,7
25,13
29,11
24,10
41,9
35,14
57,13
21,7
29,6
36,10
20,10
51,13
39,7
36,13
40,15
61,9
38,15
20,10
21,9
40,9
46,6
21,10
35,6
39,13
38,9
30,9
28,5
32,13
46,11
40,11
47,9
44,6
38,9
51,9
46,13
51,16
45,16
20,10
44,13
33,11
18,9
61,15
50,13
47,9
34,13
53,9
39,10
58,9
66,9
26,7
41,3
47,10
31,11
52,10
29,12
43,5
42,14
35,10
41,9
34,13
52,10
61,10
39,9
19,10
46,13
39,10
22,10
30,9
40,11
43,13
37,3
23,12
39,12
54,14
46,10
20,10
50,13
17,6
36,9
37,9
53,9
50,9
38,9
63,9
53,9
40,13
23,10
20,9
46,10
28,6
59,14
41,13
33,1
56,8
50,9
31,13
41,11
38,13
25,12
18,9
49,13
39,10
22,10
21,10
35,13
21,9
38,9
55,4
31,9
17,7
31,13
25,13
39,14
50,4
38,13
50,10
63,6
31,9
23,13
18,10
43,13
34,10
18,7
46,9
35,13
46,14
59,11
31,4
27,9
41,14
42,9
55,13
34,9
44,9
26,13
36,11
69,5
33,10
30,11
35,9
25,13
21,10
18,7
