39, shops, 77516, Bachelors, 13, live, Adm-clerical, bus, book, action, 2174, 0, 40, United-States, <=50
52, malls, 276515, Bachelors, 13, DVD, Other-service, car, book, action, 0, 0, 40, Cuba, <=50
46, malls, 51618, HS-grad, 9, DVD, Other-service, cycling, book, aventure, 0, 0, 40, United-States, <=50
59, malls, 159937, HS-grad, 9, DVD, Sales, car, book, action, 0, 0, 48, United-States, <=50
44, malls, 343591, HS-grad, 9, social_networks, Craft-repair, bus, book, aventure, 14344, 0, 40, United-States, >50
53, malls, 346253, HS-grad, 9, social_networks, Sales, running, book, aventure, 0, 0, 35, United-States, <=50
49, ecommerce, 268234, HS-grad, 9, DVD, Protective-serv, car, book, action, 0, 0, 40, United-States, >50
33, malls, 202051, Masters, 14, DVD, Prof-specialty, car, book, action, 0, 0, 50, United-States, <=50
30, malls, 54334, 9th, 5, live, Sales, bus, book, action, 0, 0, 40, United-States, <=50
43, supermarkets, 410867, Doctorate, 16, live, Prof-specialty, bus, book, aventure, 0, 0, 50, United-States, >50
57, malls, 249977, Assoc-voc, 11, DVD, Prof-specialty, car, book, action, 0, 0, 40, United-States, <=50
37, malls, 286730, Some-college, 10, social_networks, Craft-repair, walking, book, aventure, 0, 0, 40, United-States, <=50
28, malls, 212563, Some-college, 10, social_networks, Machine-op-inspct, walking, magazine, aventure, 0, 0, 25, United-States, <=50
30, malls, 117747, HS-grad, 9, DVD, Sales, cycling, web, aventure, 0, 1573, 35, ?, <=50
34, ecommerce, 226296, Bachelors, 13, DVD, Protective-serv, car, book, action, 0, 0, 40, United-States, >50
29, ecommerce, 115585, Some-college, 10, live, Handlers-cleaners, bus, book, action, 0, 0, 50, United-States, <=50
48, markets, 191277, Doctorate, 16, DVD, Prof-specialty, car, book, action, 0, 1902, 60, United-States, >50
37, malls, 202683, Some-college, 10, DVD, Sales, car, book, action, 0, 0, 48, United-States, >50
48, malls, 171095, Assoc-acdm, 12, social_networks, Exec-managerial, walking, book, aventure, 0, 0, 40, England, <=50
32, supermarkets, 249409, HS-grad, 9, live, Other-service, running, magazine, action, 0, 0, 40, United-States, <=50
76, malls, 124191, Masters, 14, DVD, Exec-managerial, car, book, action, 0, 0, 40, United-States, >50
44, malls, 198282, Bachelors, 13, DVD, Exec-managerial, car, book, action, 15024, 0, 60, United-States, >50
47, markets, 149116, Masters, 14, live, Prof-specialty, bus, book, aventure, 0, 0, 50, United-States, <=50
20, malls, 188300, Some-college, 10, live, Tech-support, running, book, aventure, 0, 0, 40, United-States, <=50
29, malls, 103432, HS-grad, 9, live, Craft-repair, bus, book, action, 0, 0, 40, United-States, <=50
32, Self-emp-inc, 317660, HS-grad, 9, DVD, Craft-repair, car, book, action, 7688, 0, 40, United-States, >50
17, ?, 304873, 10th, 6, live, ?, running, book, aventure, 34095, 0, 32, United-States, <=50
30, malls, 194901, 11th, 7, live, Handlers-cleaners, running, book, action, 0, 0, 40, United-States, <=50
31, ecommerce, 189265, HS-grad, 9, live, Adm-clerical, bus, book, aventure, 0, 0, 40, United-States, <=50
42, malls, 124692, HS-grad, 9, DVD, Handlers-cleaners, car, book, action, 0, 0, 40, United-States, <=50
24, malls, 432376, Bachelors, 13, live, Sales, Other-relative, book, action, 0, 0, 40, United-States, <=50
38, malls, 65324, Prof-school, 15, DVD, Prof-specialty, car, book, action, 0, 0, 40, United-States, >50
56, markets, 335605, HS-grad, 9, DVD, Other-service, car, book, action, 0, 1887, 50, Canada, >50
28, malls, 377869, Some-college, 10, DVD, Sales, cycling, book, aventure, 4064, 0, 25, United-States, <=50
36, malls, 102864, HS-grad, 9, live, Machine-op-inspct, running, book, aventure, 0, 0, 40, United-States, <=50
53, malls, 95647, 9th, 5, DVD, Handlers-cleaners, car, book, action, 0, 0, 50, United-States, <=50
56, Self-emp-inc, 303090, Some-college, 10, DVD, Sales, car, book, action, 0, 0, 50, United-States, <=50
49, ecommerce, 197371, Assoc-voc, 11, DVD, Craft-repair, car, magazine, action, 0, 0, 40, United-States, >50
55, malls, 247552, Some-college, 10, DVD, Sales, car, book, action, 0, 0, 56, United-States, <=50
22, malls, 102632, HS-grad, 9, live, Craft-repair, bus, book, action, 0, 0, 41, United-States, <=50
21, malls, 199915, Some-college, 10, live, Other-service, running, book, aventure, 0, 0, 40, United-States, <=50
40, malls, 118853, Bachelors, 13, DVD, Exec-managerial, car, book, action, 0, 0, 60, United-States, <=50
30, malls, 77143, Bachelors, 13, live, Exec-managerial, running, magazine, action, 0, 0, 40, Germany, <=50
29, shops, 267989, Bachelors, 13, DVD, Prof-specialty, car, book, action, 0, 0, 50, United-States, >50
19, malls, 301606, Some-college, 10, live, Other-service, running, magazine, action, 0, 0, 35, United-States, <=50
47, malls, 287828, Bachelors, 13, DVD, Exec-managerial, cycling, book, aventure, 0, 0, 40, United-States, >50
20, malls, 111697, Some-college, 10, live, Adm-clerical, running, book, aventure, 0, 1719, 28, United-States, <=50
31, malls, 114937, Assoc-acdm, 12, DVD, Adm-clerical, car, book, action, 0, 0, 40, United-States, >50
35, ?, 129305, HS-grad, 9, DVD, ?, car, book, action, 0, 0, 40, United-States, <=50
39, malls, 365739, Some-college, 10, social_networks, Craft-repair, bus, book, action, 0, 0, 40, United-States, <=50
28, malls, 69621, Assoc-acdm, 12, live, Sales, bus, book, aventure, 0, 0, 60, United-States, <=50
24, malls, 43323, HS-grad, 9, live, Other-service, bus, book, aventure, 0, 1762, 40, United-States, <=50
38, markets, 120985, HS-grad, 9, DVD, Craft-repair, car, book, action, 4386, 0, 35, United-States, <=50
37, malls, 254202, Bachelors, 13, DVD, Sales, car, book, action, 0, 0, 50, United-States, <=50
46, malls, 146195, Assoc-acdm, 12, social_networks, Tech-support, bus, magazine, aventure, 0, 0, 36, United-States, <=50
38, supermarkets, 125933, Masters, 14, DVD, Prof-specialty, car, book, action, 0, 0, 40, Iran, >50
43, markets, 56920, HS-grad, 9, DVD, Craft-repair, car, book, action, 0, 0, 60, United-States, <=50
27, malls, 163127, Assoc-voc, 11, DVD, Adm-clerical, cycling, book, aventure, 0, 0, 35, United-States, <=50
20, malls, 34310, Some-college, 10, live, Sales, running, book, action, 0, 0, 20, United-States, <=50
49, malls, 81973, Some-college, 10, DVD, Craft-repair, car, web, action, 0, 0, 40, United-States, >50
61, Self-emp-inc, 66614, HS-grad, 9, DVD, Craft-repair, car, book, action, 0, 0, 40, United-States, <=50
27, malls, 232782, Some-college, 10, live, Sales, running, book, aventure, 0, 0, 40, United-States, <=50
19, malls, 316868, Some-college, 10, live, Other-service, running, book, action, 0, 0, 30, Mexico, <=50
45, malls, 196584, Assoc-voc, 11, live, Prof-specialty, bus, book, aventure, 0, 1564, 40, United-States, >50
70, malls, 105376, Some-college, 10, live, Tech-support, Other-relative, book, action, 0, 0, 40, United-States, <=50
31, malls, 185814, HS-grad, 9, live, Transport-moving, walking, magazine, aventure, 0, 0, 30, United-States, <=50
22, malls, 175374, Some-college, 10, DVD, Other-service, car, book, action, 0, 0, 24, United-States, <=50
36, malls, 108293, HS-grad, 9, Widowed, Other-service, walking, book, aventure, 0, 0, 24, United-States, <=50
64, malls, 181232, 11th, 7, DVD, Craft-repair, car, book, action, 0, 2179, 40, United-States, <=50
43, ?, 174662, Some-college, 10, social_networks, ?, bus, book, aventure, 0, 0, 40, United-States, <=50
47, ecommerce, 186009, Some-college, 10, social_networks, Adm-clerical, walking, book, aventure, 0, 0, 38, Mexico, <=50
34, malls, 198183, HS-grad, 9, live, Adm-clerical, bus, book, aventure, 0, 0, 40, United-States, <=50
33, malls, 163003, Bachelors, 13, live, Exec-managerial, Other-relative, web, aventure, 0, 0, 40, Philippines, <=50
21, malls, 296158, HS-grad, 9, live, Craft-repair, running, book, action, 0, 0, 35, United-States, <=50
52, ?, 252903, HS-grad, 9, social_networks, ?, bus, book, action, 0, 0, 45, United-States, >50
48, malls, 187715, HS-grad, 9, DVD, Craft-repair, car, book, action, 0, 0, 46, United-States, <=50
23, malls, 214542, Bachelors, 13, live, Handlers-cleaners, bus, book, action, 0, 0, 40, United-States, <=50
71, markets, 494223, Some-college, 10, websites, Sales, walking, magazine, action, 0, 1816, 2, United-States, <=50
29, malls, 191535, HS-grad, 9, social_networks, Craft-repair, bus, book, action, 0, 0, 60, United-States, <=50
42, malls, 228456, Bachelors, 13, websites, Other-service, Other-relative, magazine, action, 0, 0, 50, United-States, <=50
68, ?, 38317, 1st-4th, 2, social_networks, ?, bus, book, aventure, 0, 0, 20, United-States, <=50
25, malls, 252752, HS-grad, 9, live, Other-service, walking, book, aventure, 0, 0, 40, United-States, <=50
44, Self-emp-inc, 78374, Masters, 14, social_networks, Exec-managerial, walking, web, aventure, 0, 0, 40, United-States, <=50
28, malls, 88419, HS-grad, 9, live, Exec-managerial, bus, web, aventure, 0, 0, 40, England, <=50
45, markets, 201080, Masters, 14, DVD, Sales, car, book, action, 0, 0, 40, United-States, >50
36, malls, 207157, Some-college, 10, social_networks, Other-service, walking, book, aventure, 0, 0, 40, Mexico, <=50
39, supermarkets, 235485, Assoc-acdm, 12, live, Exec-managerial, bus, book, action, 0, 0, 42, United-States, <=50
46, shops, 102628, Masters, 14, Widowed, Protective-serv, walking, book, action, 0, 0, 40, United-States, <=50
18, malls, 25828, 11th, 7, live, Handlers-cleaners, running, book, action, 0, 0, 16, United-States, <=50
66, ecommerce, 54826, Assoc-voc, 11, Widowed, Prof-specialty, bus, book, aventure, 0, 0, 20, United-States, <=50
27, malls, 124953, HS-grad, 9, live, Other-service, bus, book, action, 0, 1980, 40, United-States, <=50
28, shops, 175325, HS-grad, 9, DVD, Protective-serv, car, book, action, 0, 0, 40, United-States, <=50
51, malls, 96062, Some-college, 10, DVD, Sales, car, book, action, 0, 1977, 40, United-States, >50
27, malls, 428030, Bachelors, 13, live, Craft-repair, bus, book, action, 0, 0, 50, United-States, <=50
28, shops, 149624, Bachelors, 13, DVD, Prof-specialty, car, book, action, 0, 0, 40, United-States, >50
27, malls, 253814, HS-grad, 9, theaters, Sales, walking, book, aventure, 0, 0, 25, United-States, <=50
21, malls, 312956, HS-grad, 9, live, Craft-repair, running, magazine, action, 0, 0, 40, United-States, <=50
34, malls, 483777, HS-grad, 9, live, Handlers-cleaners, bus, magazine, action, 0, 0, 40, United-States, <=50
18, malls, 183930, HS-grad, 9, live, Other-service, running, book, action, 0, 0, 12, United-States, <=50
33, malls, 37274, Bachelors, 13, DVD, Prof-specialty, car, book, action, 0, 0, 65, United-States, <=50
44, ecommerce, 181344, Some-college, 10, DVD, Exec-managerial, car, magazine, action, 0, 0, 38, United-States, >50
43, malls, 114580, Some-college, 10, social_networks, Adm-clerical, bus, book, aventure, 0, 0, 40, United-States, <=50
30, malls, 633742, Some-college, 10, live, Craft-repair, bus, magazine, action, 0, 0, 45, United-States, <=50
40, malls, 286370, 7th-8th, 4, DVD, Machine-op-inspct, car, book, action, 0, 0, 40, Mexico, >50
37, supermarkets, 29054, Some-college, 10, DVD, Adm-clerical, car, book, action, 0, 0, 42, United-States, >50
34, malls, 304030, HS-grad, 9, DVD, Adm-clerical, car, magazine, action, 0, 0, 40, United-States, <=50
41, markets, 143129, Bachelors, 13, social_networks, Exec-managerial, bus, book, aventure, 0, 0, 40, United-States, <=50
53, ?, 135105, Bachelors, 13, social_networks, ?, bus, book, aventure, 0, 0, 50, United-States, <=50
31, malls, 99928, Masters, 14, DVD, Prof-specialty, cycling, book, aventure, 0, 0, 50, United-States, <=50
58, shops, 109567, Doctorate, 16, DVD, Prof-specialty, car, book, action, 0, 0, 1, United-States, >50
38, malls, 155222, Some-college, 10, social_networks, Machine-op-inspct, bus, magazine, aventure, 0, 0, 28, United-States, <=50
24, malls, 159567, Some-college, 10, DVD, Machine-op-inspct, car, book, action, 0, 0, 40, United-States, <=50
41, ecommerce, 523910, Bachelors, 13, DVD, Craft-repair, car, magazine, action, 0, 0, 40, United-States, <=50
47, malls, 120939, Some-college, 10, DVD, Tech-support, car, book, action, 0, 0, 45, United-States, <=50
41, supermarkets, 130760, Bachelors, 13, DVD, Tech-support, car, book, action, 0, 0, 24, United-States, <=50
23, malls, 197387, 5th-6th, 3, DVD, Transport-moving, Other-relative, book, action, 0, 0, 40, Mexico, <=50
36, malls, 99374, Some-college, 10, social_networks, Craft-repair, bus, book, action, 0, 0, 40, United-States, <=50
40, supermarkets, 56795, Masters, 14, live, Exec-managerial, bus, book, aventure, 14084, 0, 55, United-States, >50
35, malls, 138992, Masters, 14, DVD, Prof-specialty, Other-relative, book, action, 7298, 0, 40, United-States, >50
24, markets, 32921, HS-grad, 9, live, Sales, bus, book, action, 0, 0, 40, United-States, <=50
26, malls, 397317, Masters, 14, live, Prof-specialty, bus, book, aventure, 0, 1876, 40, United-States, <=50
19, ?, 170653, HS-grad, 9, live, ?, running, book, action, 0, 0, 40, Italy, <=50
51, malls, 259323, Bachelors, 13, DVD, Exec-managerial, car, book, action, 0, 0, 50, United-States, >50
42, ecommerce, 254817, Some-college, 10, live, Prof-specialty, bus, book, aventure, 0, 1340, 40, United-States, <=50
37, shops, 48211, HS-grad, 9, social_networks, Adm-clerical, walking, book, aventure, 0, 0, 35, United-States, <=50
18, malls, 140164, 11th, 7, live, Sales, running, book, aventure, 0, 0, 40, United-States, <=50
36, malls, 128757, Bachelors, 13, DVD, Other-service, car, magazine, action, 7298, 0, 36, United-States, >50
35, malls, 36270, HS-grad, 9, social_networks, Craft-repair, bus, book, action, 0, 0, 60, United-States, <=50
58, Self-emp-inc, 210563, HS-grad, 9, DVD, Sales, cycling, book, aventure, 15024, 0, 35, United-States, >50
17, malls, 65368, 11th, 7, live, Sales, running, book, aventure, 0, 0, 12, United-States, <=50
44, ecommerce, 160943, HS-grad, 9, DVD, Transport-moving, car, magazine, action, 0, 0, 40, United-States, <=50
37, malls, 208358, HS-grad, 9, DVD, Craft-repair, car, book, action, 0, 0, 40, United-States, >50
35, malls, 153790, Some-college, 10, live, Sales, bus, tv, aventure, 0, 0, 40, United-States, <=50
60, malls, 85815, HS-grad, 9, DVD, Craft-repair, car, web, action, 0, 0, 40, United-States, <=50
54, Self-emp-inc, 125417, 7th-8th, 4, DVD, Machine-op-inspct, car, book, action, 0, 0, 40, United-States, >50
37, malls, 635913, Bachelors, 13, live, Exec-managerial, bus, magazine, action, 0, 0, 60, United-States, >50
50, malls, 313321, Assoc-acdm, 12, social_networks, Sales, bus, book, aventure, 0, 0, 40, United-States, <=50
38, malls, 182609, Bachelors, 13, DVD, Sales, car, book, action, 0, 0, 50, Poland, <=50
45, malls, 109434, Bachelors, 13, DVD, Prof-specialty, car, book, action, 0, 0, 55, United-States, <=50
25, malls, 255004, 10th, 6, live, Craft-repair, bus, book, action, 0, 0, 40, United-States, <=50
31, malls, 197860, Some-college, 10, DVD, Handlers-cleaners, car, book, action, 0, 0, 40, United-States, <=50
64, ?, 187656, 1st-4th, 2, social_networks, ?, bus, book, action, 0, 0, 40, United-States, <=50
90, malls, 51744, HS-grad, 9, live, Other-service, bus, magazine, action, 0, 2206, 40, United-States, <=50
54, malls, 176681, HS-grad, 9, DVD, Adm-clerical, car, magazine, action, 0, 0, 20, United-States, <=50
53, ecommerce, 140359, Preschool, 1, live, Machine-op-inspct, bus, book, aventure, 0, 0, 35, United-States, <=50
18, malls, 243313, HS-grad, 9, live, Sales, running, book, aventure, 0, 0, 40, United-States, <=50
60, ?, 24215, 10th, 6, social_networks, ?, bus, tv, aventure, 0, 0, 10, United-States, <=50
66, markets, 167687, HS-grad, 9, DVD, Farming-fishing, car, book, action, 1409, 0, 50, United-States, <=50
75, malls, 314209, Assoc-voc, 11, Widowed, Adm-clerical, bus, book, aventure, 0, 0, 20, Columbia, <=50
65, malls, 176796, HS-grad, 9, social_networks, Adm-clerical, bus, book, aventure, 0, 0, 40, United-States, <=50
35, malls, 538583, 11th, 7, websites, Transport-moving, bus, magazine, action, 3674, 0, 40, United-States, <=50
41, malls, 130408, HS-grad, 9, social_networks, Sales, walking, magazine, aventure, 0, 0, 38, United-States, <=50
25, malls, 159732, Some-college, 10, live, Adm-clerical, bus, book, action, 0, 0, 42, United-States, <=50
33, malls, 110978, Some-college, 10, social_networks, Craft-repair, Other-relative, Other, aventure, 0, 0, 40, United-States, <=50
28, malls, 76714, Prof-school, 15, live, Prof-specialty, bus, book, action, 0, 0, 55, United-States, >50
59, shops, 268700, HS-grad, 9, DVD, Other-service, car, book, action, 0, 0, 40, United-States, <=50
40, shops, 170525, Some-college, 10, live, Adm-clerical, bus, book, aventure, 0, 0, 38, United-States, <=50
41, malls, 180138, Bachelors, 13, DVD, Exec-managerial, car, book, action, 0, 0, 50, Iran, >50
38, ecommerce, 115076, Masters, 14, DVD, Exec-managerial, car, book, action, 0, 0, 70, United-States, >50
23, malls, 115458, HS-grad, 9, live, Transport-moving, running, book, action, 0, 0, 40, United-States, <=50
40, malls, 347890, Bachelors, 13, DVD, Prof-specialty, car, book, action, 0, 0, 40, United-States, >50
41, markets, 196001, HS-grad, 9, DVD, Other-service, cycling, book, aventure, 0, 0, 20, United-States, <=50
24, shops, 273905, Assoc-acdm, 12, DVD, Protective-serv, car, book, action, 0, 0, 50, United-States, <=50
20, ?, 119156, Some-college, 10, live, ?, running, book, action, 0, 0, 20, United-States, <=50
38, malls, 179488, Some-college, 10, social_networks, Craft-repair, bus, book, action, 0, 1741, 40, United-States, <=50
56, malls, 203580, HS-grad, 9, DVD, Adm-clerical, car, book, action, 0, 0, 35, ?, <=50
58, malls, 236596, HS-grad, 9, DVD, Adm-clerical, car, book, action, 0, 0, 45, United-States, >50
32, malls, 183916, HS-grad, 9, live, Other-service, bus, book, aventure, 0, 0, 34, United-States, <=50
40, malls, 207578, Assoc-acdm, 12, DVD, Tech-support, car, book, action, 0, 1977, 60, United-States, >50
45, malls, 153141, HS-grad, 9, DVD, Adm-clerical, car, book, action, 0, 0, 40, ?, <=50
41, malls, 112763, Prof-school, 15, DVD, Prof-specialty, cycling, book, aventure, 0, 0, 40, United-States, >50
42, malls, 390781, Bachelors, 13, DVD, Adm-clerical, cycling, magazine, aventure, 0, 0, 40, United-States, <=50
59, ecommerce, 171328, 10th, 6, Widowed, Other-service, walking, magazine, aventure, 0, 0, 30, United-States, <=50
19, ecommerce, 27382, Some-college, 10, live, Adm-clerical, running, book, action, 0, 0, 40, United-States, <=50
58, malls, 259014, Some-college, 10, live, Transport-moving, bus, book, action, 0, 0, 20, United-States, <=50
42, markets, 303044, HS-grad, 9, DVD, Farming-fishing, car, web, action, 0, 0, 40, Cambodia, >50
20, malls, 117789, HS-grad, 9, live, Other-service, running, book, aventure, 0, 0, 40, United-States, <=50
32, malls, 172579, HS-grad, 9, websites, Other-service, bus, book, aventure, 0, 0, 30, United-States, <=50
45, malls, 187666, Assoc-voc, 11, Widowed, Exec-managerial, bus, book, aventure, 0, 0, 45, United-States, <=50
50, malls, 204518, 7th-8th, 4, social_networks, Craft-repair, bus, book, action, 0, 0, 40, United-States, <=50
36, malls, 150042, Bachelors, 13, social_networks, Prof-specialty, running, book, aventure, 0, 0, 40, United-States, <=50
45, malls, 98092, HS-grad, 9, DVD, Sales, car, book, action, 0, 0, 60, United-States, <=50
